lift,confidence,support,consequents,antecedents
12.35,0.33,0.001,brandy + soda,specialty chocolate + packaged fruit/vegetables + potato products
12.35,0.33,0.001,curd + liquor,specialty chocolate + packaged fruit/vegetables + potato products
12.35,0.33,0.001,packaged fruit/vegetables + liquor (appetizer),light bulbs + sweet spreads + cleaner
12.35,0.33,0.001,brandy + soda,specialty chocolate + baking powder + pip fruit
12.35,0.33,0.001,light bulbs + soda,liquor (appetizer) + root vegetables + pip fruit
12.35,0.33,0.001,brandy + potato products,packaged fruit/vegetables + cleaner + nut snack
12.35,0.33,0.001,liquor (appetizer) + sweet spreads,brandy + male cosmetics + pip fruit
12.35,0.33,0.001,packaged fruit/vegetables + liquor (appetizer),brandy + male cosmetics + pip fruit
12.35,0.33,0.001,curd + liquor,butter + spices + soda
12.35,0.33,0.001,brandy + soda,potato products + pip fruit + cleaner
12.35,0.33,0.001,light bulbs + soda,potato products + pip fruit + cleaner
12.35,0.33,0.001,specialty vegetables + pudding powder,butter + light bulbs + root vegetables
12.35,0.33,0.001,light bulbs + soda,root vegetables + pip fruit + pudding powder
12.35,0.33,0.001,brandy + soda,curd + packaged fruit/vegetables + potato products
12.35,0.33,0.001,curd + liquor,potato products + pudding powder + nut snack
12.35,0.33,0.001,curd + specialty chocolate,potato products + pudding powder + nut snack
12.35,0.33,0.001,specialty chocolate + pip fruit,cereals + spices + liquor
12.35,0.33,0.002,curd + specialty chocolate,sauces + brandy + pip fruit
12.35,0.33,0.001,light bulbs + pudding powder,curd + packaged fruit/vegetables + tropical fruit
12.35,0.33,0.001,packaged fruit/vegetables + tropical fruit,cereals + spices + root vegetables
12.35,0.33,0.001,specialty chocolate + pip fruit,cereals + spices + root vegetables
12.35,0.33,0.001,spices + baking powder,brandy + white wine + male cosmetics
12.35,0.33,0.001,pip fruit + pudding powder,brandy + white wine + potato products
12.35,0.33,0.001,specialty chocolate + pip fruit,potato products + pudding powder + nut snack
12.35,0.33,0.001,curd + specialty chocolate,packaged fruit/vegetables + liquor + potato products
12.35,0.33,0.001,brandy + root vegetables,cereals + potato products + soda
12.35,0.33,0.001,spices + pip fruit,brandy + liquor + liquor (appetizer)
12.35,0.33,0.001,specialty vegetables + pudding powder,cereals + potato products + male cosmetics
12.35,0.33,0.001,white wine + potato products,curd + brandy + specialty vegetables
12.35,0.33,0.001,specialty chocolate + pip fruit,curd + brandy + specialty vegetables
12.35,0.33,0.001,brandy + potato products,spices + specialty chocolate + root vegetables
12.35,0.33,0.001,specialty vegetables + pudding powder,brandy + white wine + potato products
12.35,0.33,0.001,liquor (appetizer) + sweet spreads,curd + brandy + root vegetables
12.35,0.33,0.001,curd + baking powder,potato products + soda + pudding powder
12.35,0.33,0.001,white wine + pip fruit,curd + brandy + root vegetables
12.35,0.33,0.001,curd + specialty chocolate,baking powder + pudding powder + nut snack
12.35,0.33,0.001,pip fruit + pudding powder,baking powder + cleaner + nut snack
12.35,0.33,0.002,white wine + pip fruit,curd + liquor + potato products
12.35,0.33,0.002,pip fruit + pudding powder,cereals + liquor + specialty vegetables
12.35,0.33,0.001,baking powder + sweet spreads,potato products + soda + pudding powder
12.35,0.33,0.001,pip fruit + pudding powder,curd + brandy + specialty vegetables
12.35,0.33,0.001,potato products + pudding powder,curd + brandy + specialty vegetables
12.35,0.33,0.002,white wine + pip fruit,root vegetables + soda + cleaner
12.35,0.33,0.002,brandy + potato products,root vegetables + soda + cleaner
12.35,0.33,0.001,curd + liquor,brandy + white wine + potato products
12.35,0.33,0.001,packaged fruit/vegetables + tropical fruit,spices + specialty chocolate + root vegetables
12.35,0.33,0.001,spices + baking powder,light bulbs + sweet spreads + cleaner
12.35,0.33,0.001,potato products + pudding powder,butter + spices + root vegetables
12.35,0.33,0.001,specialty chocolate + pip fruit,butter + spices + brandy
12.35,0.33,0.001,packaged fruit/vegetables + tropical fruit,butter + spices + soda
12.35,0.33,0.001,specialty chocolate + pip fruit,butter + spices + soda
12.35,0.33,0.001,packaged fruit/vegetables + liquor (appetizer),spices + brandy + bottled water
12.35,0.33,0.001,specialty chocolate + pip fruit,spices + brandy + bottled water
12.35,0.33,0.001,specialty chocolate + pip fruit,brandy + liquor + liquor (appetizer)
12.35,0.33,0.001,spices + pip fruit,cereals + liquor + bottled water
12.35,0.33,0.001,spices + brandy,cereals + liquor + bottled water
12.35,0.33,0.001,packaged fruit/vegetables + liquor (appetizer),cereals + liquor + bottled water
12.35,0.33,0.001,specialty chocolate + pip fruit,cereals + liquor + bottled water
12.35,0.33,0.001,specialty chocolate + pip fruit,butter + spices + root vegetables
12.35,0.33,0.001,curd + potato products,butter + light bulbs + soda
12.35,0.33,0.001,white wine + pip fruit,curd + brandy + specialty vegetables
12.35,0.33,0.001,spices + baking powder,tropical fruit + sweet spreads + nut snack
12.35,0.33,0.001,liquor (appetizer) + sweet spreads,spices + brandy + tropical fruit
12.35,0.33,0.001,root vegetables + soda,spices + brandy + male cosmetics
12.35,0.33,0.002,potato products + pudding powder,specialty chocolate + brandy + specialty vegetables
12.35,0.33,0.002,pip fruit + pudding powder,specialty chocolate + brandy + potato products
12.35,0.33,0.001,light bulbs + pudding powder,specialty chocolate + baking powder + nut snack
12.35,0.33,0.001,curd + baking powder,light bulbs + liquor + bottled water
12.35,0.33,0.001,curd + potato products,brandy + cleaner + nut snack
12.35,0.33,0.001,specialty vegetables + pudding powder,sauces + brandy + root vegetables
12.35,0.33,0.001,curd + liquor,sauces + brandy + root vegetables
12.35,0.33,0.001,brandy + potato products,curd + packaged fruit/vegetables + tropical fruit
12.35,0.33,0.001,brandy + potato products,curd + packaged fruit/vegetables + soda
12.35,0.33,0.001,packaged fruit/vegetables + tropical fruit,baking powder + pudding powder + nut snack
12.35,0.33,0.001,spices + pip fruit,liquor + bottled water + pudding powder
12.35,0.33,0.001,light bulbs + pudding powder,packaged fruit/vegetables + cleaner + nut snack
12.2,0.5,0.001,sauces + baking powder,liquor (appetizer) + potato products + sweet spreads
12.2,0.5,0.001,light bulbs + packaged fruit/vegetables,baking powder + white wine + liquor (appetizer)
12.2,0.5,0.002,light bulbs + packaged fruit/vegetables,baking powder + bottled water + nut snack
12.2,0.5,0.002,butter + brandy,potato products + soda + nut snack
12.2,0.5,0.001,light bulbs + packaged fruit/vegetables,specialty vegetables + male cosmetics + nut snack
12.2,0.5,0.001,sauces + specialty vegetables,white wine + pudding powder + nut snack
12.2,0.5,0.001,sauces + baking powder,liquor + liquor (appetizer) + pudding powder
12.2,0.5,0.001,butter + nut snack,curd + baking powder + cleaner
12.2,0.5,0.001,light bulbs + packaged fruit/vegetables,potato products + male cosmetics + pip fruit
12.2,0.5,0.002,light bulbs + packaged fruit/vegetables,butter + curd + specialty chocolate
12.2,0.5,0.001,butter + nut snack,baking powder + cleaner + pudding powder
12.2,0.5,0.001,light bulbs + packaged fruit/vegetables,specialty vegetables + bottled water + nut snack
12.2,0.5,0.001,butter + nut snack,spices + light bulbs + brandy
12.2,0.5,0.001,light bulbs + packaged fruit/vegetables,spices + baking powder + bottled water
12.2,0.5,0.002,light bulbs + packaged fruit/vegetables,potato products + male cosmetics + nut snack
12.2,0.5,0.001,butter + brandy,white wine + liquor (appetizer) + root vegetables
12.2,0.5,0.001,sauces + specialty vegetables,root vegetables + sweet spreads + pudding powder
12.2,0.5,0.001,butter + nut snack,potato products + root vegetables + pip fruit
12.2,0.5,0.001,butter + brandy,spices + light bulbs + nut snack
12.2,0.5,0.003,butter + nut snack,curd + brandy + sweet spreads
12.2,0.5,0.001,light bulbs + packaged fruit/vegetables,baking powder + white wine + nut snack
12.2,0.5,0.001,butter + nut snack,light bulbs + brandy + liquor
12.2,0.5,0.001,light bulbs + packaged fruit/vegetables,spices + soda + pudding powder
12.2,0.5,0.001,sauces + baking powder,curd + specialty vegetables + sweet spreads
12.2,0.5,0.002,butter + brandy,liquor (appetizer) + potato products + cleaner
12.2,0.5,0.001,butter + nut snack,bottled water + pip fruit + soda
12.2,0.5,0.001,butter + nut snack,curd + liquor (appetizer) + cleaner
12.2,0.5,0.001,light bulbs + packaged fruit/vegetables,curd + white wine + sweet spreads
12.2,0.5,0.001,light bulbs + packaged fruit/vegetables,baking powder + liquor (appetizer) + pip fruit
12.2,0.5,0.001,butter + nut snack,liquor + bottled water + cleaner
12.2,0.5,0.002,light bulbs + packaged fruit/vegetables,baking powder + white wine + pip fruit
12.2,0.5,0.001,butter + brandy,specialty chocolate + specialty vegetables + soda
12.2,0.5,0.001,light bulbs + packaged fruit/vegetables,white wine + liquor (appetizer) + specialty vegetables
12.2,0.5,0.001,butter + brandy,curd + liquor (appetizer) + cleaner
12.2,0.5,0.001,butter + nut snack,curd + liquor + tropical fruit
12.2,0.5,0.001,sauces + baking powder,cereals + light bulbs + liquor (appetizer)
12.2,0.5,0.002,sauces + baking powder,butter + light bulbs + liquor (appetizer)
12.2,0.5,0.002,butter + brandy,pip fruit + soda + nut snack
12.2,0.5,0.003,sauces + specialty vegetables,cereals + white wine + pip fruit
12.2,0.5,0.002,sauces + specialty vegetables,white wine + pip fruit + pudding powder
12.2,0.5,0.002,butter + nut snack,specialty chocolate + bottled water + pip fruit
12.2,0.5,0.001,butter + nut snack,white wine + tropical fruit + bottled water
12.2,0.5,0.001,butter + brandy,liquor (appetizer) + cleaner + nut snack
12.2,0.5,0.001,light bulbs + packaged fruit/vegetables,brandy + specialty vegetables + sweet spreads
12.2,0.5,0.001,sauces + baking powder,white wine + potato products + male cosmetics
12.2,0.5,0.001,sauces + specialty vegetables,baking powder + packaged fruit/vegetables + root vegetables
12.2,0.5,0.001,light bulbs + packaged fruit/vegetables,specialty chocolate + white wine + root vegetables
12.2,0.5,0.001,light bulbs + packaged fruit/vegetables,spices + baking powder + soda
12.2,0.5,0.001,sauces + specialty vegetables,white wine + potato products + nut snack
12.2,0.5,0.001,butter + nut snack,baking powder + packaged fruit/vegetables + root vegetables
12.2,0.5,0.001,butter + brandy,baking powder + packaged fruit/vegetables + root vegetables
12.2,0.5,0.001,sauces + specialty vegetables,curd + male cosmetics + soda
12.2,0.5,0.001,butter + nut snack,liquor + specialty vegetables + soda
12.2,0.5,0.003,butter + brandy,curd + sweet spreads + nut snack
12.2,0.5,0.001,light bulbs + packaged fruit/vegetables,liquor (appetizer) + male cosmetics + cleaner
12.2,0.5,0.001,butter + brandy,liquor (appetizer) + bottled water + cleaner
12.2,0.5,0.002,butter + brandy,packaged fruit/vegetables + soda + nut snack
12.2,0.5,0.002,sauces + baking powder,white wine + male cosmetics + soda
12.2,0.5,0.002,butter + brandy,potato products + cleaner + nut snack
12.2,0.5,0.001,sauces + specialty vegetables,brandy + liquor + potato products
12.12,0.4,0.002,liquor + white wine,specialty chocolate + liquor (appetizer) + soda
12.12,0.4,0.002,specialty chocolate + sweet spreads,butter + male cosmetics + nut snack
12.12,0.4,0.002,spices + tropical fruit,sauces + root vegetables + pip fruit
12.12,0.4,0.002,liquor + white wine,spices + curd + tropical fruit
12.12,0.4,0.002,curd + nut snack,brandy + potato products + pip fruit
12.12,0.4,0.002,curd + nut snack,specialty chocolate + bottled water + pudding powder
12.12,0.4,0.002,packaged fruit/vegetables + liquor,specialty vegetables + tropical fruit + male cosmetics
12.12,0.4,0.002,specialty chocolate + bottled water,male cosmetics + cleaner + nut snack
12.12,0.4,0.002,butter + root vegetables,cereals + packaged fruit/vegetables + brandy
12.12,0.4,0.002,liquor + white wine,spices + tropical fruit + pip fruit
12.12,0.4,0.002,specialty chocolate + bottled water,light bulbs + root vegetables + nut snack
12.12,0.4,0.002,specialty chocolate + sweet spreads,liquor + bottled water + male cosmetics
12.12,0.4,0.002,liquor + white wine,spices + liquor (appetizer) + soda
12.12,0.4,0.002,packaged fruit/vegetables + liquor,spices + specialty vegetables + male cosmetics
12.12,0.4,0.002,butter + root vegetables,packaged fruit/vegetables + brandy + soda
12.12,0.4,0.002,specialty chocolate + bottled water,cereals + spices + cleaner
12.12,0.4,0.002,liquor + white wine,curd + specialty chocolate + soda
12.12,0.4,0.002,liquor + white wine,butter + liquor (appetizer) + soda
12.12,0.4,0.002,packaged fruit/vegetables + liquor,curd + specialty chocolate + soda
12.12,0.4,0.002,spices + tropical fruit,sauces + light bulbs + liquor (appetizer)
12.12,0.67,0.002,sauces + butter,root vegetables + cleaner + pudding powder
12.12,0.4,0.002,curd + bottled water,specialty chocolate + tropical fruit + root vegetables
12.12,0.4,0.002,pip fruit + cleaner,curd + light bulbs + soda
12.12,0.4,0.002,curd + nut snack,sauces + brandy + liquor
12.12,0.4,0.002,baking powder + tropical fruit,light bulbs + pudding powder + nut snack
12.12,0.4,0.002,spices + potato products,cereals + specialty chocolate + cleaner
12.12,0.4,0.002,liquor + white wine,brandy + specialty vegetables + nut snack
12.12,0.4,0.002,specialty chocolate + bottled water,tropical fruit + root vegetables + pudding powder
12.12,0.4,0.002,curd + pudding powder,packaged fruit/vegetables + bottled water + cleaner
12.12,0.4,0.002,curd + sweet spreads,packaged fruit/vegetables + bottled water + cleaner
12.12,0.4,0.002,curd + nut snack,butter + liquor (appetizer) + soda
12.12,0.4,0.002,spices + tropical fruit,light bulbs + root vegetables + soda
12.12,0.4,0.002,white wine + cleaner,light bulbs + root vegetables + pip fruit
12.12,0.4,0.002,specialty chocolate + bottled water,curd + pudding powder + nut snack
12.12,0.4,0.002,baking powder + white wine,packaged fruit/vegetables + brandy + bottled water
12.12,0.4,0.002,packaged fruit/vegetables + liquor,spices + male cosmetics + nut snack
12.12,0.4,0.002,curd + sweet spreads,tropical fruit + pip fruit + pudding powder
12.12,0.4,0.002,spices + potato products,baking powder + specialty vegetables + tropical fruit
12.12,0.4,0.002,butter + root vegetables,sauces + male cosmetics + pudding powder
12.12,0.4,0.002,specialty chocolate + bottled water,cereals + tropical fruit + cleaner
12.12,0.4,0.002,packaged fruit/vegetables + liquor,curd + specialty vegetables + root vegetables
12.12,0.4,0.002,liquor + white wine,sauces + liquor (appetizer) + soda
12.12,0.4,0.002,liquor + white wine,specialty chocolate + potato products + pudding powder
12.12,0.4,0.002,spices + tropical fruit,sauces + specialty chocolate + packaged fruit/vegetables
12.1,0.38,0.003,specialty chocolate + male cosmetics,sauces + bottled water + cleaner
12.1,0.38,0.003,specialty chocolate + male cosmetics,root vegetables + bottled water + cleaner
11.9,0.43,0.003,cereals + packaged fruit/vegetables,butter + root vegetables + soda
11.9,0.33,0.001,pip fruit + soda,cereals + spices + root vegetables
11.9,0.33,0.001,light bulbs + liquor,brandy + white wine + root vegetables
11.9,0.33,0.001,bottled water + sweet spreads,brandy + white wine + potato products
11.9,0.25,0.001,liquor + bottled water,curd + packaged fruit/vegetables + specialty vegetables
11.9,0.33,0.001,specialty chocolate + soda,packaged fruit/vegetables + liquor + potato products
11.9,0.33,0.001,specialty vegetables + bottled water,packaged fruit/vegetables + liquor + white wine
11.9,0.33,0.001,brandy + white wine,butter + light bulbs + root vegetables
11.9,0.5,0.001,sauces + curd,specialty chocolate + specialty vegetables + soda
11.9,0.33,0.001,light bulbs + white wine,baking powder + pip fruit + nut snack
11.9,0.33,0.001,packaged fruit/vegetables + pudding powder,cereals + male cosmetics + soda
11.9,0.5,0.001,cereals + tropical fruit,sauces + packaged fruit/vegetables + bottled water
11.9,0.25,0.001,brandy + liquor,sauces + pip fruit + pudding powder
11.9,0.29,0.002,root vegetables + pudding powder,cereals + sauces + packaged fruit/vegetables
11.9,0.33,0.001,pip fruit + soda,brandy + bottled water + pudding powder
11.9,0.33,0.001,specialty vegetables + bottled water,sauces + curd + male cosmetics
11.9,0.33,0.001,pip fruit + soda,light bulbs + liquor (appetizer) + cleaner
11.9,0.33,0.001,specialty chocolate + soda,packaged fruit/vegetables + liquor + white wine
11.9,0.33,0.001,bottled water + sweet spreads,curd + packaged fruit/vegetables + potato products
11.9,0.33,0.002,pip fruit + soda,curd + baking powder + sweet spreads
11.9,0.33,0.001,brandy + white wine,potato products + pudding powder + nut snack
11.9,0.33,0.001,light bulbs + liquor,root vegetables + pip fruit + pudding powder
11.9,0.33,0.001,specialty chocolate + soda,root vegetables + pip fruit + pudding powder
11.9,0.33,0.001,curd + cleaner,root vegetables + pip fruit + pudding powder
11.9,0.25,0.001,brandy + liquor,root vegetables + sweet spreads + nut snack
11.9,0.33,0.001,spices + cleaner,sauces + curd + male cosmetics
11.9,0.33,0.001,pip fruit + soda,baking powder + male cosmetics + nut snack
11.9,0.25,0.001,spices + male cosmetics,sauces + packaged fruit/vegetables + potato products
11.9,0.33,0.001,light bulbs + root vegetables,sauces + packaged fruit/vegetables + specialty vegetables
11.9,0.33,0.001,light bulbs + root vegetables,curd + liquor + pudding powder
11.9,0.25,0.001,cleaner + pudding powder,potato products + male cosmetics + nut snack
11.9,0.33,0.001,light bulbs + liquor,sauces + packaged fruit/vegetables + specialty vegetables
11.9,0.25,0.001,liquor + bottled water,root vegetables + sweet spreads + cleaner
11.9,0.33,0.001,brandy + white wine,specialty vegetables + tropical fruit + root vegetables
11.9,0.33,0.002,spices + nut snack,packaged fruit/vegetables + liquor + specialty vegetables
11.9,0.33,0.001,pip fruit + soda,liquor + root vegetables + pudding powder
11.9,0.33,0.001,spices + cleaner,specialty vegetables + tropical fruit + root vegetables
11.9,0.33,0.001,packaged fruit/vegetables + bottled water,brandy + white wine + sweet spreads
11.9,0.33,0.001,baking powder + liquor,sauces + packaged fruit/vegetables + specialty vegetables
11.9,0.25,0.001,male cosmetics + soda,liquor (appetizer) + potato products + cleaner
11.9,0.33,0.001,specialty chocolate + soda,sauces + curd + male cosmetics
11.9,0.33,0.001,spices + nut snack,sauces + curd + male cosmetics
11.9,0.33,0.001,specialty chocolate + soda,liquor + root vegetables + pudding powder
11.9,0.33,0.001,light bulbs + white wine,curd + baking powder + packaged fruit/vegetables
11.9,0.33,0.001,light bulbs + liquor,curd + baking powder + packaged fruit/vegetables
11.9,0.33,0.001,spices + nut snack,curd + baking powder + packaged fruit/vegetables
11.9,0.33,0.001,baking powder + liquor,specialty vegetables + tropical fruit + sweet spreads
11.9,0.33,0.001,brandy + white wine,curd + liquor + pudding powder
11.9,0.33,0.001,packaged fruit/vegetables + pudding powder,liquor + male cosmetics + cleaner
11.9,0.33,0.001,specialty chocolate + packaged fruit/vegetables,liquor + male cosmetics + cleaner
11.9,0.25,0.001,brandy + liquor,spices + specialty chocolate + liquor (appetizer)
11.9,0.33,0.002,spices + cleaner,sauces + tropical fruit + root vegetables
11.9,0.33,0.002,pip fruit + soda,sauces + tropical fruit + root vegetables
11.9,0.25,0.001,liquor + bottled water,spices + curd + soda
11.9,0.33,0.001,brandy + white wine,curd + liquor + nut snack
11.9,0.33,0.001,bottled water + sweet spreads,liquor + male cosmetics + cleaner
11.9,0.29,0.002,tropical fruit + pip fruit,cereals + sweet spreads + pudding powder
11.9,0.33,0.001,curd + cleaner,light bulbs + liquor (appetizer) + soda
11.9,0.29,0.002,root vegetables + pudding powder,specialty chocolate + tropical fruit + bottled water
11.9,0.33,0.001,specialty chocolate + packaged fruit/vegetables,light bulbs + liquor (appetizer) + cleaner
11.9,0.25,0.001,liquor + bottled water,white wine + root vegetables + male cosmetics
11.9,0.33,0.001,liquor (appetizer) + potato products,butter + light bulbs + baking powder
11.9,0.33,0.001,pip fruit + soda,brandy + cleaner + nut snack
11.9,0.25,0.001,male cosmetics + soda,brandy + bottled water + cleaner
11.9,0.33,0.001,light bulbs + liquor,sweet spreads + pip fruit + nut snack
11.9,0.33,0.001,liquor (appetizer) + potato products,butter + light bulbs + soda
11.9,0.33,0.001,curd + cleaner,butter + light bulbs + soda
11.9,0.25,0.001,spices + male cosmetics,liquor (appetizer) + specialty vegetables + tropical fruit
11.9,0.33,0.001,specialty vegetables + bottled water,light bulbs + potato products + root vegetables
11.9,0.33,0.001,pip fruit + soda,curd + baking powder + brandy
11.9,0.33,0.001,specialty chocolate + soda,curd + baking powder + brandy
11.9,0.33,0.001,light bulbs + liquor,packaged fruit/vegetables + liquor (appetizer) + potato products
11.9,0.25,0.001,liquor + bottled water,packaged fruit/vegetables + white wine + male cosmetics
11.9,0.33,0.001,light bulbs + root vegetables,curd + baking powder + packaged fruit/vegetables
11.9,0.33,0.001,brandy + white wine,spices + specialty chocolate + nut snack
11.9,0.25,0.001,spices + male cosmetics,root vegetables + sweet spreads + cleaner
11.9,0.25,0.001,spices + male cosmetics,root vegetables + sweet spreads + soda
11.9,0.25,0.001,cleaner + pudding powder,potato products + male cosmetics + sweet spreads
11.9,0.33,0.001,bottled water + sweet spreads,baking powder + root vegetables + pip fruit
11.9,0.33,0.001,specialty vegetables + bottled water,baking powder + root vegetables + pip fruit
11.9,0.33,0.001,light bulbs + root vegetables,liquor + sweet spreads + cleaner
11.9,0.25,0.001,spices + male cosmetics,liquor + liquor (appetizer) + nut snack
11.9,0.25,0.001,tropical fruit + cleaner,root vegetables + male cosmetics + nut snack
11.9,0.33,0.001,baking powder + liquor,specialty vegetables + tropical fruit + pip fruit
11.9,0.25,0.001,tropical fruit + cleaner,packaged fruit/vegetables + liquor (appetizer) + root vegetables
11.9,0.33,0.002,baking powder + liquor,curd + light bulbs + potato products
11.9,0.33,0.001,spices + pudding powder,specialty vegetables + tropical fruit + nut snack
11.9,0.29,0.002,spices + soda,curd + white wine + liquor (appetizer)
11.9,0.25,0.001,male cosmetics + soda,cereals + baking powder + pip fruit
11.9,0.29,0.002,white wine + tropical fruit,spices + curd + liquor (appetizer)
11.9,0.33,0.001,curd + cleaner,brandy + liquor (appetizer) + potato products
11.9,0.25,0.001,male cosmetics + soda,liquor + white wine + pudding powder
11.9,0.33,0.001,specialty vegetables + bottled water,spices + curd + root vegetables
11.9,0.33,0.001,baking powder + liquor,specialty vegetables + tropical fruit + pudding powder
11.9,0.33,0.001,spices + nut snack,specialty vegetables + tropical fruit + pudding powder
11.9,0.33,0.001,spices + cleaner,sauces + liquor + root vegetables
11.9,0.33,0.001,pip fruit + soda,spices + light bulbs + root vegetables
11.9,0.33,0.001,light bulbs + liquor,specialty chocolate + root vegetables + soda
11.9,0.5,0.001,sauces + curd,white wine + pudding powder + nut snack
11.9,0.33,0.001,packaged fruit/vegetables + pudding powder,specialty chocolate + white wine + nut snack
11.9,0.25,0.001,brandy + liquor,curd + white wine + nut snack
11.9,0.33,0.001,pip fruit + soda,curd + white wine + cleaner
11.9,0.33,0.001,spices + nut snack,curd + white wine + tropical fruit
11.9,0.33,0.001,packaged fruit/vegetables + pudding powder,baking powder + potato products + cleaner
11.9,0.33,0.001,light bulbs + root vegetables,curd + white wine + cleaner
11.9,0.33,0.001,light bulbs + liquor,curd + white wine + cleaner
11.9,0.25,0.001,cleaner + pudding powder,potato products + bottled water + male cosmetics
11.9,0.33,0.001,light bulbs + white wine,curd + liquor (appetizer) + specialty vegetables
11.9,0.25,0.001,liquor + bottled water,curd + white wine + nut snack
11.9,0.33,0.001,specialty chocolate + packaged fruit/vegetables,light bulbs + potato products + root vegetables
11.9,0.33,0.001,baking powder + liquor,specialty chocolate + liquor (appetizer) + specialty vegetables
11.9,0.25,0.001,liquor + bottled water,specialty chocolate + liquor (appetizer) + potato products
11.9,0.25,0.001,cleaner + pudding powder,light bulbs + potato products + nut snack
11.9,0.33,0.001,pip fruit + soda,liquor + tropical fruit + nut snack
11.9,0.33,0.001,packaged fruit/vegetables + pudding powder,sauces + liquor + root vegetables
11.9,0.5,0.001,sauces + curd,specialty vegetables + bottled water + cleaner
11.9,0.33,0.001,brandy + white wine,specialty vegetables + bottled water + soda
11.9,0.25,0.001,spices + male cosmetics,cereals + packaged fruit/vegetables + bottled water
11.9,0.33,0.001,specialty vegetables + bottled water,spices + pudding powder + nut snack
11.9,0.33,0.002,light bulbs + liquor,specialty vegetables + root vegetables + pudding powder
11.9,0.33,0.001,specialty chocolate + packaged fruit/vegetables,cereals + liquor (appetizer) + soda
11.9,0.33,0.001,spices + nut snack,brandy + liquor + sweet spreads
11.9,0.5,0.001,cereals + tropical fruit,specialty vegetables + bottled water + nut snack
11.9,0.25,0.001,male cosmetics + soda,sauces + baking powder + bottled water
11.9,0.25,0.001,tropical fruit + cleaner,sauces + baking powder + bottled water
11.9,0.33,0.001,spices + nut snack,curd + liquor (appetizer) + soda
11.9,0.25,0.002,spices + male cosmetics,sauces + tropical fruit + cleaner
11.9,0.25,0.001,liquor + bottled water,butter + male cosmetics + cleaner
11.9,0.33,0.002,packaged fruit/vegetables + pudding powder,bottled water + sweet spreads + cleaner
11.9,0.25,0.001,tropical fruit + cleaner,butter + bottled water + pudding powder
11.9,0.33,0.001,pip fruit + soda,brandy + liquor (appetizer) + potato products
11.9,0.25,0.001,brandy + liquor,cereals + packaged fruit/vegetables + bottled water
11.9,0.25,0.001,liquor + bottled water,spices + pip fruit + pudding powder
11.9,0.25,0.001,brandy + liquor,spices + sweet spreads + nut snack
11.9,0.33,0.001,specialty vegetables + bottled water,spices + sweet spreads + pip fruit
11.9,0.33,0.001,packaged fruit/vegetables + pudding powder,spices + male cosmetics + sweet spreads
11.9,0.25,0.001,tropical fruit + cleaner,cereals + packaged fruit/vegetables + bottled water
11.9,0.5,0.001,cereals + tropical fruit,packaged fruit/vegetables + potato products + specialty vegetables
11.9,0.33,0.001,spices + nut snack,specialty chocolate + white wine + pip fruit
11.9,0.33,0.001,light bulbs + liquor,sauces + baking powder + root vegetables
11.9,0.33,0.001,liquor (appetizer) + potato products,sauces + baking powder + root vegetables
11.9,0.33,0.001,packaged fruit/vegetables + pudding powder,sauces + baking powder + root vegetables
11.9,0.25,0.001,spices + male cosmetics,baking powder + white wine + tropical fruit
11.9,0.25,0.001,male cosmetics + soda,baking powder + white wine + pudding powder
11.9,0.25,0.001,tropical fruit + cleaner,baking powder + white wine + pip fruit
11.9,0.25,0.001,spices + male cosmetics,baking powder + white wine + pip fruit
11.9,0.25,0.001,spices + male cosmetics,white wine + root vegetables + nut snack
11.9,0.25,0.001,liquor + bottled water,white wine + soda + nut snack
11.9,0.29,0.002,potato products + nut snack,cereals + specialty chocolate + specialty vegetables
11.9,0.29,0.002,potato products + nut snack,light bulbs + liquor (appetizer) + pip fruit
11.9,0.29,0.002,spices + soda,light bulbs + liquor (appetizer) + pip fruit
11.9,0.29,0.002,specialty vegetables + male cosmetics,light bulbs + liquor (appetizer) + sweet spreads
11.9,0.25,0.001,brandy + liquor,light bulbs + white wine + nut snack
11.9,0.25,0.001,liquor + bottled water,potato products + root vegetables + sweet spreads
11.9,0.33,0.001,packaged fruit/vegetables + bottled water,specialty chocolate + white wine + nut snack
11.9,0.25,0.001,male cosmetics + soda,butter + baking powder + bottled water
11.9,0.33,0.001,light bulbs + root vegetables,cereals + liquor + pudding powder
11.9,0.5,0.001,cereals + tropical fruit,spices + bottled water + nut snack
11.9,0.33,0.001,baking powder + liquor,cereals + tropical fruit + soda
11.9,0.33,0.001,light bulbs + liquor,cereals + tropical fruit + soda
11.9,0.33,0.001,brandy + white wine,sauces + potato products + nut snack
11.9,0.33,0.001,specialty chocolate + packaged fruit/vegetables,brandy + liquor + male cosmetics
11.9,0.25,0.001,brandy + liquor,curd + potato products + nut snack
11.9,0.33,0.002,bottled water + sweet spreads,curd + potato products + cleaner
11.9,0.25,0.001,brandy + liquor,curd + potato products + soda
11.9,0.33,0.001,pip fruit + soda,potato products + tropical fruit + pudding powder
11.9,0.33,0.001,brandy + white wine,curd + potato products + specialty vegetables
11.9,0.25,0.001,liquor + bottled water,butter + sweet spreads + cleaner
11.9,0.29,0.002,white wine + pudding powder,butter + sweet spreads + soda
11.9,0.33,0.001,packaged fruit/vegetables + bottled water,potato products + tropical fruit + pudding powder
11.9,0.25,0.001,male cosmetics + soda,baking powder + liquor + nut snack
11.9,0.25,0.001,spices + male cosmetics,cereals + baking powder + bottled water
